Stock #,RapNet Lot #,Publish,Availability,Item Title,Description,Type,Style,Category,Condition,Shipping from,Price,Currency,Terms,MSRP,Available for Memo,No. Items in Stock,Minimum order,Free Worldwide Shipping,Delivery Time,Delivery Location,Delivery Location Price,Delivery Location Currency,Delivery Location Terms,Delivery Location MSRP,Delivery Location Time,Ring Size,Keywords,Brand,Designer,Jewelry Quality,Setting,Jewelry Weight,Metal Type,Metal Karat,Measurements,Jewelry Lab Name,Jewelry Lab Report,Gemstone Type,Gemstone Shape,Gemstone carat,Gemstone Description,Gemstone Lab,Gem Lab Report #,Gemstone Measurements,Gemstone Quantity,Gemstone Treatment,Gemstone Treatment Type,Gemstone Comment,Gemstone Synthetic,Supplier Comment,Manufacture Date,Availability comment,Image Type,Image File Name,Image Title,URL Type,URL Title,URL Link,Document Type,Document Filename,Document title
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Cushion,0.74,,GIA,,,1,no,,,no,,,,,0.74Cts Fancy Intense Purplish Pink Radiant Ring II.jpg,0.74Cts Natural Fancy Intense Purplish Pink GIA CU,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74Cts Fancy Intense Purplish Pink Radiant Ring III.jpg,0.74Cts Natural Fancy Intense Purplish Pink GIA CU,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74Cts FIPP .jpg,0.74Cts Natural Fancy Intense Purplish Pink GIA CU,,,,,,
HJRNG137,392205,yes,yes,Natural Fancy Vivid Orangy Yellow GIA Certified Diamond Ring in 18K,"0.39Cts Fancy Vivid Orangy Yellow SI2 GIA,              
12pcs Rosecut Diamonds 1.13Cts,                   
Round Brilliant 0.06Cts,
18K 5.04gms
",Rings,"Engagement Ring, Bridal, Fashion, Cluster, Cocktail, Women","New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,7500,USD,"Cash Advance, COD",8000,no,1,1,no,3,,,,,,,,"Fancy Color, Diamond, Orange, Diamondjewellery, Jewellery, Jewels, Designer",,VN Diamonds,"Luxury, Fine",,5.35,"Yellow Gold, White Gold",18K,,,,Diamond,Pear,1.13,,None,1112815883,,12,,,,no,"0.39Cts Fancy Vivid Orangy Yellow SI2 GIA,              
12pcs Rosecut Diamonds 1.13Cts,                   
Round Brilliant 0.06Cts,
18K 5.04gms
",,,,0.39Cts NFVOY GIA Ring.jpg,0.39Cts Fancy Vivid Yellow Orane,,,,Grading Report,0.39Cts Natural Fancy Vivid Orangy Yellow SI2 VG G N GIA BR 1112815883.pdf,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond - Fancy Color,Round,0.06,,None,,,,,,,no,,,,,0.39Cts FVYO Front View.jpg,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond - Fancy Color,Round,0.39,,GIA,,,1,,,,no,,,,,,,,,,,,
HJRNG226,392206,yes,yes,5.34Cts Natural Deep Brownish Greenish Yellow VS2,"5.34Cts Fancy Deep Brn Greenish Yellow VS2 GIA Certified Cushion Cut,                                                                                                  2pcs Cadillac Diamonds 0.81Cts,
18K 5.44gms
",Rings,"Engagement Ring, Bridal, Solitaire, Three Stone, Fashion, Cluster, Cocktail, Women","New, Bridal, Woman's, Art Deco, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,55000,USD,"Cash Advance, COD",58000,no,1,1,no,3,,,,,,,,"Fancy Color, Diamond, Yellow, Orange, Diamondjewellery, Jewellery, Jewels, Designer",,VN Diamonds,,,6.67,"Yellow Gold, White Gold",18K,,,,Diamond,Other,0.81,,None,,,2,,,,no,"5.34Cts Fancy Deep Brn Greenish Yellow VS2 GIA Certified Cushion Cut,                                                                                                  2pcs Cadillac Diamonds 0.81Cts,
18K 5.44gms
Stone is very lively with no traces of Brown showing on the Stone",,,,5.34Cts FDBGY VS2 GIA CU Ring.jpg,5.34Cs Fancy Color Diamod Ring,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",Grading Report,5.34Cts Fancy Deep Brownish Greenish Yellow VS2 VG EX MB GIA CMB 6183008687.pdf,5.34Cs Facy Deep Browish Greenish Yellow  VS2 GIA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond - Fancy Color,Cushion,5.34,,GIA,6183008687,,1,,,,no,,,,,,,,,,,,
HJRNG145,398860,yes,yes,1.52Cts Fancy Deep Yellow VS1 Emerald Cut Diamond Ring,"1.52Cts Fancy Deep Yellow VS1 GIA EM,                 
8pcs Emerald Cut Diamonds 1.60Cts,                   
Round Brilliant Diamonds,
18K 
",Rings,"Engagement Ring, Bridal, Solitaire, Fashion, Cluster, Cocktail, Women","New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,35000,USD,"Cash Advance, COD",36000,no,1,1,no,2,,,,,,,,"Ring, Color, Pink, FancyColor, Diamond, Jewellery, Designer, Design, Luxury",,VN Diamonds,"Luxury, Fine",,8.97,"Yellow Gold, White Gold",18K,,,,Diamond,Round,,,None,,,,no,,,no,"1.52Cts Fancy Deep Yellow VS1 Emerald Cut Diamond Ring
1.52Cts Fancy Deep Yellow VS1 GIA EM,                 
8pcs Emerald Cut Diamonds 1.60Cts,                   
Round Brilliant Diamonds,
18K ",,,,1.52Cts Natural Fancy Deep Yellow VS1 Emerald Cut Diamond Ring II.jpg,1.52Cs Fancy Deep Yellow Vs1 GIA EM,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",Grading Report,1.52Cts Natural Fancy Deep Yellow VS1 VG VG N GIA EM 5161658317.pdf,1.52Cts FDY VS1 GIA EM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Emerald,1.6,,None,,,8,no,,,no,,,,,1.52Cts Natural Fancy Deep Yellow VS1 Emerald Cut Diamond Ring III.jpg,1.52Ct Fancy Deep Yellow GIA EM Cut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond - Fancy Color,Round,,,None,,,,no,,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond - Fancy Color,Emerald,1.52,,GIA,,,1,no,,,no,,,,,,,,,,,,
HJERG257,398867,yes,yes,Round Illusion Cut Diamond Earrings with Halo,"18pcs PieCut Round Diamonds 1.488Cts,                          
32pcs Round Brilliant Diamonds 0.575Cts,
18K 
",Earrings,Stud,"New, Engagement, Bridal, Woman's, Men's, Designer Jewelry, Youth, Fashion Jewelry",New,Hong Kong,4500,USD,"Cash Advance, COD",5000,no,1,1,no,2,,,,,,,,"Piecut, Illusion, Earrings, Diamond, Jewellery, Handmade, Jewels",,VN Diamonds,"Fine, Promotional",,3.62,White Gold,18K,,,,Diamond,Round,0.575,,None,,,32,,,,no,"Round Illusion Cut Diamond Earrings with Halo
18pcs PieCut Round Diamonds 1.488Cts,                          
32pcs Round Brilliant Diamonds 0.575Cts,
18K 

",,,,KellettBall26jpg.jpg,,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Round,1.488,,None,,,18,,,,no,,,,,,,,,,,,
HJRNG172,398857,yes,yes,10Cts Mozambique Ruby Ring,"1pc Mozambique Red Heat GRS 10.51Cts,                                 
Round Brilliant Diamonds 0.68Cts,
18K 
",Rings,"Engagement Ring, Halo, Cluster, Women","New, Engagement, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Art Deco",New,Hong Kong,33000,USD,"Cash Advance, COD",34000,no,1,1,no,2,,,,,,,,,,VN Diamonds,"Luxury, Fine",,,"White Gold, Yellow Gold",18K,,,,Ruby,Cushion,10.51,,Other,,,1,,Heat Treated,,no,"10Cts Mozambique Ruby Ring
1pc Mozambique Red Heat GRS 10.51Cts,                                 
Round Brilliant Diamonds 0.68Cts,
18K ",,,,10.51Cts Mozambique Cushion Shape Ruby Ring.jpeg,10.51Cts Mozambique Ruby Ring,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
HJRNG230,347055,yes,yes,5.25Cts Natural Burma Heat Vivid Red Pigeon's Blood Ruby Ring,"1pc Burma H Vivid Red GRS Oval 5.25Cts,      
9pcs Round Rosecut Diamonds 1.33Cts
18K White & Yellow Gold Handmade Jewellery 6.39gms GW
",Rings,"Engagement Ring, Bridal, Solitaire, Halo, Simple Band, Fashion, Cluster, Cocktail, Women","New, Bridal, Woman's, Art Deco, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,130000,USD,"Cash Advance, COD, Memo",140000,no,1,1,no,3,,,,,,,7,"Ruby, Burma, Gems, Gemstones, Ruby Ring, Burma Ruby, Ring, Jewellery, Jewelry",,VN Diamonds,"Investment, Luxury, Fine",,6.39,"Yellow Gold, White Gold",18K,,,,Diamond,Rose,1.33,,None,,,9,,,,no,"1pc Burma H Vivid Red Pigeon's Blood GRS Oval 5.25Cts,      
9pcs Round Rosecut Diamonds 1.33Cts
18K White & Yellow Gold Handmade Jewellery 6.39gms GW",,,,5.25Cts Burma Ruby Ring - Front.jpg,5.25Cts Burma Heat Pigeon's Blood GRS Cert,,,,Grading Report,5.25Cts Burma Heat H(a) Vivid Red Pigeon's Blood GRS Oval Shape.pdf,5.25Cts Burma Ruby 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby,Oval,5.25,,Other,,,1,,Heat Treated,,no,,,,,,,,,,,,
HJBRCT138,345629,yes,yes,Ascher Cut Burma Ruby & Diamond Bracelet in 18K White & Yellow Gold,"18pcs Ascher Cut Vivid Red Burma Ruby 4.69Cts,                 
17pcs Ascher Cut Diamonds DEF VVS VS+ 2.04Cts
18K White & Yellow Gold 10.93gms GW
",Bracelets,"Tennis, Cuff","New, Bridal, Woman's, Art Deco, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,8000,USD,"Cash Advance, COD",9000,no,1,1,no,5,,,,,,,,"Gems, Gemstones, Gemstone, Handmade Jewellery, Ruby, Rubies, Burma, Myanmar, Ring",,VN Diamonds,"Investment, Luxury, Fine",,10.93,"Yellow Gold, White Gold",18K,,,,Diamond,Asscher,2.04,,None,,,17,no,,,no,"18pcs Ascher Cut Vivid Red Burma Ruby 4.69Cts,                 
17pcs Ascher Cut Diamonds DEF VVS VS+ 2.04Cts
18K White & Yellow Gold 10.93gms GW",,,,Burma Ruby Bracelet on paper.jpg,Burma Ruby & Diamond Bracelet,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby,Square Emerald,4.69,,None,,,18,yes,Heat Treated,,no,,,,,Burma Ruby Bracelet Side View.jpg,Burma Ruby & Diamond Bracelet Side View,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burma Ruby Bracelet on wood.jpg,Burma Ruby & Diamond Bracelet,,,,,,
HJERG258,393241,yes,yes,Illusion 4pcs Round Diamond Earrings in 18K,"4pcs PieCut Round Diamonds 3.98Cts
18K ",Earrings,Stud,"New, Bridal, Woman's, Men's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,12500,USD,"Cash Advance, COD",13000,no,1,1,no,2,,,,,,,,"Diamond, Illusion, Pizzacut, PieCut, Earrings, Jewellery, Jewels",,VN Diamonds,"Fine, Luxury",,,White Gold,18K,,,,Diamond,Other,3.98,,None,,,8,,,,no,"Illusion 4pcs Round Diamond Earrings in 18K
4pcs PieCut Round Diamonds 3.98Cts
18K ",,,,KellettBall27.jpg,3.98Cts Illusion Cut Diamond Earrings,,,,,,
HJERG208,393245,yes,yes,Tanzanite Diamonds & Malacite Earrings in 18K,"2pcs Hexagon Cut Tanzanites 3.10Cts,                            
2pcs Hexagon Cut Diamonds 0.22Cts,                              
104pcs Round Brilliant Diamonds 0.43Cts,                 
12pcs Malacite Gem 3.20Cts,
18K 3.94gms
",Earrings,"Drop, Linear, Dangle","New, Engagement, Bridal, Woman's, Designer Jewelry, Youth, Fashion Jewelry",New,Hong Kong,3000,USD,"Cash Advance, COD",3500,no,1,1,no,2,,,,,,,,"Diamond, Tanzanite, Earrings, Handmade, Jewellery, Designer",,VN Diamonds,"Luxury, Fine",,5.34,White Gold,18K,,,,Diamond,Kite,0.22,,None,,,2,,,,no,"Designer Earrings in 18K
2pcs Hexagon Cut Tanzanites 3.10Cts,                            
2pcs Hexagon Cut Diamonds 0.22Cts,                              
104pcs Round Brilliant Diamonds 0.43Cts,                 
12pcs Malacite Gem 3.20Cts,
18K 3.94gms",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tanzanite,Kite,3.1,,None,,,2,,Heat Treated,,no,,,,,,,,,,,,
HJRNG215,393252,yes,yes,Fine Tourmaline set with Diamonds & Pink Sapphires in 18K,"1pc Cushion Afgan Tourmaline 9.65Cts,            
78pcs Round Brilliant Diamond 0.71Cts,                              
24pcs Pink Round Sapphires 0.35Cts,
18K 5.45gms
",Rings,"Engagement Ring, Bridal, Fashion, Cluster, Cocktail, Women","New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,5200,USD,"Cash Advance, COD",5800,no,1,1,no,2,,,,,,,,"Tourmaline, Ring, Artdeco, Cocktail, Jewellery, Handmade, Jewels, Diamond",,VN Diamonds,"Fine, Promotional",,7.59,"White Gold, Rose Gold",18K,,,,Diamond,Round,0.71,,None,,,78,,,,no,"Fine Tourmaline set with Diamonds & Pink Sapphires in 18K
1pc Cushion Afgan Tourmaline 9.65Cts,            
78pcs Round Brilliant Diamond 0.71Cts,                              
24pcs Pink Round Sapphires 0.35Cts,
18K 5.45gms",,,,,,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sapphire,Round,0.35,,None,,,24,,,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tourmaline,Cushion,9.65,,None,,,1,,,,no,,,,,,,,,,,,
HJNKL101,393247,yes,yes,"Necklace made using Turquoise, Diamonds in 18K","9pcs SBTurquoise Beads 12.75Ct,                   
20pcs Round Rosecut Diamonds 1.04Cts,
18K 3.69gms
",Necklaces,Riviera,"New, Bridal, Woman's, Men's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,3000,USD,"Cash Advance, COD",3500,no,1,1,no,2,,,,,,,,"Diamond, Turquoise, Earrings, Handmade, Jewellery, Designer, Jewels",,VN Diamonds,"Fine, Luxury",,32.52,"Yellow Gold, White Gold",18K,,,,Turquoise,Round,12.75,,None,,,9,,,,no,"18K Necklace with Rosecut Diamonds & Turquoise,
20pcs Round Rosecut Diamonds 1.04Cts,
18K 3.69gms",,,,9pcs Short Chain II.jpg,Turqoise & Diamond Necklace,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Round,1.04,,None,,,20,,,,no,,,,,,,,,,,,
HJRNG223,393249,yes,yes,Sleeping Beauty Turquoise & Rosecut Diamond Ring in 18K,"3pcs SBTurquoise Beads 2.48Cts,                               
4pcs Round Rosecut Diamonds 0.20Cts,
18K 3.06gms
",Rings,"Bridal, Simple Band, Fashion, Cocktail, Women","New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,2000,USD,"Cash Advance, COD",2500,no,1,1,no,2,,,,,,,,"Diamond, Turquoise, Earrings, Handmade, Jewellery, Designer, Jewels",,VN Diamonds,"Fine, Promotional",,3.6,White Gold,18K,,,,Diamond,Round,0.2,,None,,,4,,,,no,"3pcs SBTurquoise Beads 2.48Cts,                               
4pcs Round Rosecut Diamonds 0.20Cts,
18K 3.06gms",,,,KellettBall14b.jpg,SBT & Diamond Ring,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KellettBall14jpg.jpg,SBT & Diamond Ring,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KellettBall14a.jpg,SBT & Diamond Ring,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turquoise Ring.jpg,Turquoise & Diamond Ring,,,,,,
HJRNG276,392492,yes,yes,3pcs Oval Shape Zambian Emerald Ring,"3pcs Oval Shape Zambian Emerald 1.39Cts,   
90pcs Round Brilliant Diamonds 0.36Cts,       
6pcs Round Brilliant Diamonds 0.06Cts,
18K 3.97gms
",Rings,"Engagement Ring, Bridal, Eternity, Halo, Fashion, Cluster, Cocktail, Women","New, Bridal, Woman's, Art Deco, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,1800,USD,"Cash Advance, COD",2000,no,1,1,no,3,,,,,,,7,"Ring, Emerald, Gems, Gemstones, Jewellery, Jewels, Handmade",,VN Diamonds,Fine,,4.33,"Yellow Gold, White Gold",18K,,,,Diamond,Round,0.06,,None,,,6,,,,no,"3pcs Oval Shape Zambian Emerald 1.39Cts,   
90pcs Round Brilliant Diamonds 0.36Cts,       
6pcs Round Brilliant Diamonds 0.06Cts,
18K 3.97gms
",,,,3pcs ZE RIng.jpg,,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Round,0.36,,None,,,90,,,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emerald,Oval,1.39,,None,,,3,,Oiled,,no,,,,,,,,,,,,
HJRNG138,392318,yes,yes,0.50Cts Fancy Deep Yellow Orange GIA Certified Diamond Ring in 18K,"1pc Fancy Deep Yellow Orange I1 Diamond GIA BR 0.50Cts,               
Pear Brilliant Diamonds 0.87Cts,                        
Round Brilliant Diamonds 0.37Cts,
18K 5.33gms
",Rings,"Engagement Ring, Bridal, Solitaire, Fashion, Cluster, Cocktail, Women","New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,9000,USD,"Cash Advance, COD",10000,no,1,1,no,3,,,,,,,,"Diamond, Fancy Color, Orange, Ring, Jewellery, Jewels, valueformoney",,VN Diamonds,Fine,,5.678,"Yellow Gold, White Gold",18K,,,,Diamond,Pear,0.37,,None,,,,,,,no,"1pc Fancy Deep Yellow Orange I1 Diamond GIA BR 0.50Cts,               
Pear Brilliant Diamonds 0.87Cts,                        
Round Brilliant Diamonds 0.37Cts,
18K 5.33gms",,,,0.50Cts FDYO Round Front View.jpg,,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",Grading Report,0.50Cts Natural Fancy Deep Yellowish Orange I1 VG VG N GIA BR 1112815867.pdf,.50Cs Natural Fancy Deep Yellow Orange 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Pear,0.87,,None,,,,,,,no,,,,,0.50Cts Fancy Deep Yellow Orange I.jpg,50pts FDYO GIA Round Brilliant,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond - Fancy Color,Round,0.5,,GIA,1112815883,,1,,,,no,,,,,,,,,,,,
HJRNG232,398850,yes,yes,Rosecut Diamond & Agate Ring,"1pc Pear Rosecut Diamond 0.60Cts,             
17pcs Round Brilliant Diamonds 0.20Cts,       
15pcs Black Agate 7.20Cts,
18K 6.08gms
",Rings,"Engagement Ring, Bridal, Solitaire, Fashion, Cluster, Cocktail, Women","New, Bridal, Woman's, Art Deco, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,2600,USD,"Cash Advance, COD",3000,no,1,1,no,2,,,,,,,,"Ring, Rosecut, Diamond, Deisgn, Deisgner, Luxury, Fine Jewellery",,VN Diamonds,"Luxury, Fine",,7.69,White Gold,18K,,,,Agate,Other,7.2,,None,,,15,,,,no,"1pc Pear Rosecut Diamond 0.60Cts,             
17pcs Round Brilliant Diamonds 0.20Cts,       
15pcs Black Agate 7.20Cts,
18K 6.08gms",,,,70pts Pear Rosecut Diamond Ring III.jpg,Rosecut Diamond & Agate Ring,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Round,0.2,,None,,,17,,,,no,,,,,70pts Pear Rosecut Diamond RIng II.jpg,Rosecut Diamond Ring,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Pear,0.6,,None,,,1,,,,no,,,,,70pts Pear Rosecut Diamond RIng.jpg,Agate & Rosecut Diamond Ring,,,,,,
HJERG278,405276,yes,yes,Fine Columbian Emerald Earrings (Changeable) in 18K,"2pcs Columbian Emerald Minor 7.00Cts,                  
8pcs Pear GIA Certified Diamonds 2.44Cts,               
314pcs Round Brilliant Diamonds 0.76Cts,
18K 5.57gms
",Earrings,"Drop, Dangle","New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,61000,USD,"Cash Advance, COD",66000,no,1,1,no,2,,,,,,,,"VNDiamonds, Earrings, Columbian, Earrings, Emerald, Design, Designer",,VN Diamonds,"Investment, Luxury, Fine",,7.61,"Yellow Gold, White Gold",18K,,,,Diamond,Pear,0.3,,GIA,2396762873,,1,,,,no,"Fine Columbian Emerald Earrings (Changeable) in 18K
2pcs Columbian Emerald Minor 7.00Cts,                  
8pcs Pear GIA Certified Diamonds 2.44Cts,               
314pcs Round Brilliant Diamonds 0.76Cts,
18K 5.57gms",,,,7.00Cts CE Earrings Studs .jpg,7.00Cs Fine Columbian Emerald Pear Earringss,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",Grading Report,7.00Cts (3.60Cts+3.40Cts) Columbian Emerald Minor Vivid Green Verdant Green Guild Pear Shape Pair.pdf,7Cts Pair Cert
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Pear,0.3,,GIA,2357164847,,1,,,,no,,,,,7.00Cts CE Earrings Studs Dangling with Baguette Diamonds.jpg,7.00Cs Fine Columbian Emerald Pear Earringss,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Pear,0.32,,GIA,7386603057,,1,,,,no,,,,,7.00Cts CE Earrings Studs Dangling with PS Diamonds.jpg,7.00Cs Fine Columbian Emerald Pear Earringss,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Pear,0.3,,GIA,1359969941,,1,,,,no,,,,,7.00Cts CE Earrings Studs in YG.jpg,7.00Cs Fine Columbian Emerald Pear Earringss,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Pear,0.3,,GIA,2356957122,,1,,,,no,,,,,7.00Cts CE Earrings Studs I.jpg,7.00Cs Fine Columbian Emerald Pear Earringss,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Pear,0.29,,GIA,6301736349,,1,,,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Pear,0.3,,GIA,2426081564,,1,,,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Pear,0.3,,GIA,7438186473,,1,,,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Round,0.76,,None,,,314,,,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emerald,Pear,7,,Geublin,,,2,,Oiled,,no,,,,,,,,,,,,
HJRNG291,401791,yes,yes,6.40Cts Sri Lanka No Heat Color Change Sapphire Men's Ring in 18K,"1pc Oval Color Change Sapphire 6.40Cts,                  
Round Brilliant Diamonds
18K 
",Rings,"Engagement Ring, Bridal, Estate, Men, Fashion","New, Bridal, Men's, Art Deco, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,15000,USD,"Cash Advance, COD",16000,no,1,1,no,2,,,,,,,,"Ring, Sapphire, Color, Jewellery, Jewels, Handmade, Corundum",,VN Diamonds,"Investment, Fine",,,White Gold,18K,,,,Diamond,Round,,,None,,,,,,,no,"6.40Cts Sri Lanka No Heat Color Change Sapphire Men's Ring in 18K
1pc Oval Color Change Sapphire 6.40Cts,                  
Round Brilliant Diamonds
18K ",,,,6.40Cts Color Change Sapphire.jpg,6.40Cts SriLanka NH Color Change Sapphire Ring,,,,Grading Report,6.40Cts Sri Lanka No Heat Color Change Blue to  Violet GRS Oval Shape.pdf,6.40Cts SriLanka NH Color Change Sapphire Ring
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sapphire,Oval,6.4,,Other,,,1,,,,no,,,,,,,,,,,,
